"dest","date","rtt"
"78.83.181.113","Thu Dec 03 2020 11:41:40 GMT+0330 (Iran Standard Time)",259
"78.83.181.113","Thu Dec 03 2020 11:41:41 GMT+0330 (Iran Standard Time)",281
"78.83.181.113","Thu Dec 03 2020 11:41:42 GMT+0330 (Iran Standard Time)",302
"78.83.181.113","Thu Dec 03 2020 11:41:43 GMT+0330 (Iran Standard Time)",300
"78.83.181.113","Thu Dec 03 2020 11:41:43 GMT+0330 (Iran Standard Time)",300
"78.83.181.113","Thu Dec 03 2020 11:41:44 GMT+0330 (Iran Standard Time)",151
"78.83.181.113","Thu Dec 03 2020 11:41:45 GMT+0330 (Iran Standard Time)",140
"78.83.181.113","Thu Dec 03 2020 11:41:46 GMT+0330 (Iran Standard Time)",196
"78.83.181.113","Thu Dec 03 2020 11:41:47 GMT+0330 (Iran Standard Time)",141
"78.83.181.113","Thu Dec 03 2020 11:44:02 GMT+0330 (Iran Standard Time)",331
"78.83.181.113","Thu Dec 03 2020 11:44:03 GMT+0330 (Iran Standard Time)",150
"78.83.181.113","Thu Dec 03 2020 11:44:04 GMT+0330 (Iran Standard Time)",140
"78.83.181.113","Thu Dec 03 2020 11:44:05 GMT+0330 (Iran Standard Time)",194
"78.83.181.113","Thu Dec 03 2020 11:44:06 GMT+0330 (Iran Standard Time)",212
"78.83.181.113","Thu Dec 03 2020 11:44:07 GMT+0330 (Iran Standard Time)",137
"78.83.181.113","Thu Dec 03 2020 11:44:07 GMT+0330 (Iran Standard Time)",172
"78.83.181.113","Thu Dec 03 2020 11:44:08 GMT+0330 (Iran Standard Time)",136
"78.83.181.113","Thu Dec 03 2020 11:44:08 GMT+0330 (Iran Standard Time)",197
"78.83.181.113","Thu Dec 03 2020 11:44:09 GMT+0330 (Iran Standard Time)",136
"78.83.181.113","Thu Dec 03 2020 11:44:09 GMT+0330 (Iran Standard Time)",254
"78.83.181.113","Thu Dec 03 2020 11:44:10 GMT+0330 (Iran Standard Time)",145
"78.83.181.113","Thu Dec 03 2020 11:44:10 GMT+0330 (Iran Standard Time)",240
"78.83.181.113","Thu Dec 03 2020 11:44:11 GMT+0330 (Iran Standard Time)",260
"78.83.181.113","Thu Dec 03 2020 11:44:11 GMT+0330 (Iran Standard Time)",137
"78.83.181.113","Thu Dec 03 2020 11:44:12 GMT+0330 (Iran Standard Time)",156
"78.83.181.113","Thu Dec 03 2020 11:44:13 GMT+0330 (Iran Standard Time)",293
"78.83.181.113","Thu Dec 03 2020 11:44:13 GMT+0330 (Iran Standard Time)",176
"78.83.181.113","Thu Dec 03 2020 11:44:13 GMT+0330 (Iran Standard Time)",143
"78.83.181.113","Thu Dec 03 2020 11:44:14 GMT+0330 (Iran Standard Time)",211
"78.83.181.113","Thu Dec 03 2020 11:44:15 GMT+0330 (Iran Standard Time)",226
"78.83.181.113","Thu Dec 03 2020 11:44:15 GMT+0330 (Iran Standard Time)",163
"78.83.181.113","Thu Dec 03 2020 11:44:16 GMT+0330 (Iran Standard Time)",248
"78.83.181.113","Thu Dec 03 2020 11:44:16 GMT+0330 (Iran Standard Time)",187
"78.83.181.113","Thu Dec 03 2020 11:44:17 GMT+0330 (Iran Standard Time)",260
"78.83.181.113","Thu Dec 03 2020 11:44:17 GMT+0330 (Iran Standard Time)",140
"78.83.181.113","Thu Dec 03 2020 11:44:46 GMT+0330 (Iran Standard Time)",236
"78.83.181.113","Thu Dec 03 2020 11:44:47 GMT+0330 (Iran Standard Time)",264
"78.83.181.113","Thu Dec 03 2020 11:44:48 GMT+0330 (Iran Standard Time)",278
"78.83.181.113","Thu Dec 03 2020 11:44:49 GMT+0330 (Iran Standard Time)",184
"78.83.181.113","Thu Dec 03 2020 11:44:50 GMT+0330 (Iran Standard Time)",137
