"dest","date","rtt"
"yahoo.com","Thu Dec 03 2020 12:19:07 GMT+0330 (Iran Standard Time)",402
"yahoo.com","Thu Dec 03 2020 12:19:09 GMT+0330 (Iran Standard Time)",333
"yahoo.com","Thu Dec 03 2020 12:19:19 GMT+0330 (Iran Standard Time)",332
"yahoo.com","Thu Dec 03 2020 12:19:21 GMT+0330 (Iran Standard Time)",543
"yahoo.com","Thu Dec 03 2020 12:19:23 GMT+0330 (Iran Standard Time)",394
"yahoo.com","Thu Dec 03 2020 12:19:25 GMT+0330 (Iran Standard Time)",441
"yahoo.com","Thu Dec 03 2020 12:19:27 GMT+0330 (Iran Standard Time)",481
"yahoo.com","Thu Dec 03 2020 12:19:29 GMT+0330 (Iran Standard Time)",345
"yahoo.com","Thu Dec 03 2020 12:19:31 GMT+0330 (Iran Standard Time)",343
"yahoo.com","Thu Dec 03 2020 12:19:33 GMT+0330 (Iran Standard Time)",334
"yahoo.com","Thu Dec 03 2020 12:19:35 GMT+0330 (Iran Standard Time)",473
"yahoo.com","Thu Dec 03 2020 12:19:37 GMT+0330 (Iran Standard Time)",507
"yahoo.com","Thu Dec 03 2020 12:19:39 GMT+0330 (Iran Standard Time)",358
"yahoo.com","Thu Dec 03 2020 12:19:41 GMT+0330 (Iran Standard Time)",394
"yahoo.com","Thu Dec 03 2020 12:19:43 GMT+0330 (Iran Standard Time)",443
"yahoo.com","Thu Dec 03 2020 12:19:45 GMT+0330 (Iran Standard Time)",334
"yahoo.com","Thu Dec 03 2020 12:19:47 GMT+0330 (Iran Standard Time)",534
"yahoo.com","Thu Dec 03 2020 12:19:49 GMT+0330 (Iran Standard Time)",380
"yahoo.com","Thu Dec 03 2020 12:19:51 GMT+0330 (Iran Standard Time)",427
"yahoo.com","Thu Dec 03 2020 12:19:53 GMT+0330 (Iran Standard Time)",331
"yahoo.com","Thu Dec 03 2020 12:19:55 GMT+0330 (Iran Standard Time)",516
"yahoo.com","Thu Dec 03 2020 12:19:57 GMT+0330 (Iran Standard Time)",361
"yahoo.com","Thu Dec 03 2020 12:19:59 GMT+0330 (Iran Standard Time)",410
"yahoo.com","Thu Dec 03 2020 12:20:01 GMT+0330 (Iran Standard Time)",454
"yahoo.com","Thu Dec 03 2020 12:20:03 GMT+0330 (Iran Standard Time)",499
"yahoo.com","Thu Dec 03 2020 12:20:05 GMT+0330 (Iran Standard Time)",545
"yahoo.com","Thu Dec 03 2020 12:20:07 GMT+0330 (Iran Standard Time)",387
"yahoo.com","Thu Dec 03 2020 12:20:09 GMT+0330 (Iran Standard Time)",434
"yahoo.com","Thu Dec 03 2020 12:20:11 GMT+0330 (Iran Standard Time)",485
"yahoo.com","Thu Dec 03 2020 12:20:13 GMT+0330 (Iran Standard Time)",532
"yahoo.com","Thu Dec 03 2020 12:20:15 GMT+0330 (Iran Standard Time)",381
"yahoo.com","Thu Dec 03 2020 12:20:20 GMT+0330 (Iran Standard Time)",407
"yahoo.com","Thu Dec 03 2020 12:20:22 GMT+0330 (Iran Standard Time)",454
"yahoo.com","Thu Dec 03 2020 12:20:24 GMT+0330 (Iran Standard Time)",333
"yahoo.com","Thu Dec 03 2020 12:20:26 GMT+0330 (Iran Standard Time)",345
"yahoo.com","Thu Dec 03 2020 12:20:28 GMT+0330 (Iran Standard Time)",393
"yahoo.com","Thu Dec 03 2020 12:20:30 GMT+0330 (Iran Standard Time)",442
"yahoo.com","Thu Dec 03 2020 12:20:32 GMT+0330 (Iran Standard Time)",489
"yahoo.com","Thu Dec 03 2020 12:20:34 GMT+0330 (Iran Standard Time)",529
"yahoo.com","Thu Dec 03 2020 12:20:36 GMT+0330 (Iran Standard Time)",374
"yahoo.com","Thu Dec 03 2020 12:20:38 GMT+0330 (Iran Standard Time)",335
"yahoo.com","Thu Dec 03 2020 12:20:40 GMT+0330 (Iran Standard Time)",465
"yahoo.com","Thu Dec 03 2020 12:20:42 GMT+0330 (Iran Standard Time)",512
"yahoo.com","Thu Dec 03 2020 12:20:44 GMT+0330 (Iran Standard Time)",351
"yahoo.com","Thu Dec 03 2020 12:20:46 GMT+0330 (Iran Standard Time)",401
"yahoo.com","Thu Dec 03 2020 12:20:48 GMT+0330 (Iran Standard Time)",333
"yahoo.com","Thu Dec 03 2020 12:20:50 GMT+0330 (Iran Standard Time)",492
"yahoo.com","Thu Dec 03 2020 12:20:52 GMT+0330 (Iran Standard Time)",540
"yahoo.com","Thu Dec 03 2020 12:20:54 GMT+0330 (Iran Standard Time)",382
"yahoo.com","Thu Dec 03 2020 12:20:56 GMT+0330 (Iran Standard Time)",427
"yahoo.com","Thu Dec 03 2020 12:20:58 GMT+0330 (Iran Standard Time)",476
"yahoo.com","Thu Dec 03 2020 12:21:00 GMT+0330 (Iran Standard Time)",521
"yahoo.com","Thu Dec 03 2020 12:21:02 GMT+0330 (Iran Standard Time)",361
"yahoo.com","Thu Dec 03 2020 12:21:04 GMT+0330 (Iran Standard Time)",410
"yahoo.com","Thu Dec 03 2020 12:21:06 GMT+0330 (Iran Standard Time)",458
"yahoo.com","Thu Dec 03 2020 12:21:08 GMT+0330 (Iran Standard Time)",344
"yahoo.com","Thu Dec 03 2020 12:21:10 GMT+0330 (Iran Standard Time)",399
"yahoo.com","Thu Dec 03 2020 12:21:12 GMT+0330 (Iran Standard Time)",387
"yahoo.com","Thu Dec 03 2020 12:21:14 GMT+0330 (Iran Standard Time)",442
"yahoo.com","Thu Dec 03 2020 12:21:17 GMT+0330 (Iran Standard Time)",452
"yahoo.com","Thu Dec 03 2020 12:21:18 GMT+0330 (Iran Standard Time)",471
"yahoo.com","Thu Dec 03 2020 12:21:18 GMT+0330 (Iran Standard Time)",473
"yahoo.com","Thu Dec 03 2020 12:21:19 GMT+0330 (Iran Standard Time)",693
"yahoo.com","Thu Dec 03 2020 12:21:20 GMT+0330 (Iran Standard Time)",334
"yahoo.com","Thu Dec 03 2020 12:21:20 GMT+0330 (Iran Standard Time)",333
"yahoo.com","Thu Dec 03 2020 12:21:21 GMT+0330 (Iran Standard Time)",743
"yahoo.com","Thu Dec 03 2020 12:21:22 GMT+0330 (Iran Standard Time)",357
"yahoo.com","Thu Dec 03 2020 12:21:22 GMT+0330 (Iran Standard Time)",350
"yahoo.com","Thu Dec 03 2020 12:21:23 GMT+0330 (Iran Standard Time)",381
"yahoo.com","Thu Dec 03 2020 12:21:24 GMT+0330 (Iran Standard Time)",341
"yahoo.com","Thu Dec 03 2020 12:21:24 GMT+0330 (Iran Standard Time)",340
"yahoo.com","Thu Dec 03 2020 12:21:25 GMT+0330 (Iran Standard Time)",430
"yahoo.com","Thu Dec 03 2020 12:21:26 GMT+0330 (Iran Standard Time)",452
"yahoo.com","Thu Dec 03 2020 12:21:26 GMT+0330 (Iran Standard Time)",456
"yahoo.com","Thu Dec 03 2020 12:21:27 GMT+0330 (Iran Standard Time)",477
"yahoo.com","Thu Dec 03 2020 12:21:28 GMT+0330 (Iran Standard Time)",500
"yahoo.com","Thu Dec 03 2020 12:21:28 GMT+0330 (Iran Standard Time)",491
"yahoo.com","Thu Dec 03 2020 12:21:29 GMT+0330 (Iran Standard Time)",519
"yahoo.com","Thu Dec 03 2020 12:21:30 GMT+0330 (Iran Standard Time)",333
"yahoo.com","Thu Dec 03 2020 12:21:30 GMT+0330 (Iran Standard Time)",342
"yahoo.com","Thu Dec 03 2020 12:21:31 GMT+0330 (Iran Standard Time)",331
"yahoo.com","Thu Dec 03 2020 12:21:32 GMT+0330 (Iran Standard Time)",553
"yahoo.com","Thu Dec 03 2020 12:21:32 GMT+0330 (Iran Standard Time)",557
"yahoo.com","Thu Dec 03 2020 12:21:33 GMT+0330 (Iran Standard Time)",409
"yahoo.com","Thu Dec 03 2020 12:21:34 GMT+0330 (Iran Standard Time)",332
"yahoo.com","Thu Dec 03 2020 12:21:34 GMT+0330 (Iran Standard Time)",331
"yahoo.com","Thu Dec 03 2020 12:21:35 GMT+0330 (Iran Standard Time)",455
"yahoo.com","Thu Dec 03 2020 12:21:36 GMT+0330 (Iran Standard Time)",487
"yahoo.com","Thu Dec 03 2020 12:21:36 GMT+0330 (Iran Standard Time)",481
"yahoo.com","Thu Dec 03 2020 12:21:37 GMT+0330 (Iran Standard Time)",504
"yahoo.com","Thu Dec 03 2020 12:21:38 GMT+0330 (Iran Standard Time)",532
"yahoo.com","Thu Dec 03 2020 12:21:38 GMT+0330 (Iran Standard Time)",521
"yahoo.com","Thu Dec 03 2020 12:21:39 GMT+0330 (Iran Standard Time)",551
"yahoo.com","Thu Dec 03 2020 12:21:40 GMT+0330 (Iran Standard Time)",364
"yahoo.com","Thu Dec 03 2020 12:21:40 GMT+0330 (Iran Standard Time)",374
"yahoo.com","Thu Dec 03 2020 12:21:41 GMT+0330 (Iran Standard Time)",391
"yahoo.com","Thu Dec 03 2020 12:21:42 GMT+0330 (Iran Standard Time)",428
"yahoo.com","Thu Dec 03 2020 12:21:42 GMT+0330 (Iran Standard Time)",420
"yahoo.com","Thu Dec 03 2020 12:21:43 GMT+0330 (Iran Standard Time)",439
"yahoo.com","Thu Dec 03 2020 12:21:44 GMT+0330 (Iran Standard Time)",459
"yahoo.com","Thu Dec 03 2020 12:21:44 GMT+0330 (Iran Standard Time)",472
"yahoo.com","Thu Dec 03 2020 12:21:45 GMT+0330 (Iran Standard Time)",486
"yahoo.com","Thu Dec 03 2020 12:21:46 GMT+0330 (Iran Standard Time)",516
"yahoo.com","Thu Dec 03 2020 12:21:46 GMT+0330 (Iran Standard Time)",510
"yahoo.com","Thu Dec 03 2020 12:21:47 GMT+0330 (Iran Standard Time)",351
"yahoo.com","Thu Dec 03 2020 12:21:48 GMT+0330 (Iran Standard Time)",361
"yahoo.com","Thu Dec 03 2020 12:21:48 GMT+0330 (Iran Standard Time)",349
"yahoo.com","Thu Dec 03 2020 12:21:49 GMT+0330 (Iran Standard Time)",371
"yahoo.com","Thu Dec 03 2020 12:21:50 GMT+0330 (Iran Standard Time)",396
"yahoo.com","Thu Dec 03 2020 12:21:50 GMT+0330 (Iran Standard Time)",408
"yahoo.com","Thu Dec 03 2020 12:21:51 GMT+0330 (Iran Standard Time)",455
"yahoo.com","Thu Dec 03 2020 12:21:52 GMT+0330 (Iran Standard Time)",442
"yahoo.com","Thu Dec 03 2020 12:21:52 GMT+0330 (Iran Standard Time)",453
"yahoo.com","Thu Dec 03 2020 12:21:53 GMT+0330 (Iran Standard Time)",357
"yahoo.com","Thu Dec 03 2020 12:21:54 GMT+0330 (Iran Standard Time)",478
"yahoo.com","Thu Dec 03 2020 12:21:54 GMT+0330 (Iran Standard Time)",465
"yahoo.com","Thu Dec 03 2020 12:21:55 GMT+0330 (Iran Standard Time)",543
"yahoo.com","Thu Dec 03 2020 12:21:56 GMT+0330 (Iran Standard Time)",547
"yahoo.com","Thu Dec 03 2020 12:21:56 GMT+0330 (Iran Standard Time)",540
"yahoo.com","Thu Dec 03 2020 12:21:57 GMT+0330 (Iran Standard Time)",354
"yahoo.com","Thu Dec 03 2020 12:21:58 GMT+0330 (Iran Standard Time)",391
"yahoo.com","Thu Dec 03 2020 12:21:58 GMT+0330 (Iran Standard Time)",378
"yahoo.com","Thu Dec 03 2020 12:21:59 GMT+0330 (Iran Standard Time)",401
"yahoo.com","Thu Dec 03 2020 12:22:00 GMT+0330 (Iran Standard Time)",437
"yahoo.com","Thu Dec 03 2020 12:22:00 GMT+0330 (Iran Standard Time)",425
"yahoo.com","Thu Dec 03 2020 12:22:01 GMT+0330 (Iran Standard Time)",332
"yahoo.com","Thu Dec 03 2020 12:22:02 GMT+0330 (Iran Standard Time)",472
"yahoo.com","Thu Dec 03 2020 12:22:02 GMT+0330 (Iran Standard Time)",485
"yahoo.com","Thu Dec 03 2020 12:22:03 GMT+0330 (Iran Standard Time)",507
"yahoo.com","Thu Dec 03 2020 12:22:04 GMT+0330 (Iran Standard Time)",534
"yahoo.com","Thu Dec 03 2020 12:22:04 GMT+0330 (Iran Standard Time)",519
"yahoo.com","Thu Dec 03 2020 12:22:05 GMT+0330 (Iran Standard Time)",549
"yahoo.com","Thu Dec 03 2020 12:22:06 GMT+0330 (Iran Standard Time)",372
"yahoo.com","Thu Dec 03 2020 12:22:06 GMT+0330 (Iran Standard Time)",385
"yahoo.com","Thu Dec 03 2020 12:22:07 GMT+0330 (Iran Standard Time)",389
"yahoo.com","Thu Dec 03 2020 12:22:08 GMT+0330 (Iran Standard Time)",411
"yahoo.com","Thu Dec 03 2020 12:22:08 GMT+0330 (Iran Standard Time)",428
"yahoo.com","Thu Dec 03 2020 12:22:09 GMT+0330 (Iran Standard Time)",332
"yahoo.com","Thu Dec 03 2020 12:22:10 GMT+0330 (Iran Standard Time)",448
"yahoo.com","Thu Dec 03 2020 12:22:10 GMT+0330 (Iran Standard Time)",459
"yahoo.com","Thu Dec 03 2020 12:22:11 GMT+0330 (Iran Standard Time)",334
"yahoo.com","Thu Dec 03 2020 12:22:12 GMT+0330 (Iran Standard Time)",331
"yahoo.com","Thu Dec 03 2020 12:22:12 GMT+0330 (Iran Standard Time)",332
"yahoo.com","Thu Dec 03 2020 12:22:13 GMT+0330 (Iran Standard Time)",332
