"dest","date","rtt"
"*","Wed Nov 25 2020 23:34:12 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:34:12 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:34:13 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:34:13 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:34:14 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:34:14 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:34:15 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:34:15 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:28 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:28 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:28 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:28 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:29 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:29 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:29 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:29 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:30 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:30 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:30 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:30 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:31 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:31 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:31 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:31 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:32 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:32 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:32 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:32 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:33 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:33 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:33 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:33 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:34 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:34 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:34 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:34 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:35 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:35 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:35 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:35 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:36 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:36 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:36 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:36 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:37 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:37 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:37 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:37 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:38 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:38 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:38 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:38 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:39 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:39 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:39 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:39 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:40 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:40 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:40 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:40 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:41 GMT+0330 (Iran Standard Time)","unknown"
"*","Wed Nov 25 2020 23:39:41 GMT+0330 (Iran Standard Time)","unknown"
